"","id","experiment_id","channel_id","time","od_led","od_value","od_raw","od_repeats","intensity","flash","background","temperature","batchtime_h","od_corr","dilution"
"21",21,1,5,"2023-12-04 18:00:00",680,0.273961097002029,0.273961097002029,2,0,1601,4,27.1421070098877,0.25,0.250445612564656,NA
"22",22,1,6,"2023-12-04 18:00:00",680,0.183309599757195,0.183309599757195,2,0,1972,3,27.149377822876,0.25,0.167492728442487,NA
"23",23,1,7,"2023-12-04 18:00:00",680,0.261117726564407,0.261117726564407,2,0,1643,3,27.149377822876,0.25,0.238527154437397,NA
"24",24,1,8,"2023-12-04 18:00:00",680,0.189823284745216,0.189823284745216,2,0,1934,4,27.1548290252686,0.25,0.173375705681616,NA
"25",25,1,1,"2023-12-04 18:00:00",720,0.175585553050041,0.175585553050041,2,0,2009,4,27.1221141815186,0.25,0.182315860075833,0
"26",26,1,2,"2023-12-04 18:00:00",720,0.164821371436119,0.164821371436119,2,0,2060,4,27.1221141815186,0.25,0.170895030263726,0
"27",27,1,3,"2023-12-04 18:00:00",720,0.193793013691902,0.193793013691902,2,0,1935,4,27.1293849945068,0.25,0.201840567698314,0
"28",28,1,4,"2023-12-04 18:00:00",720,0.172293275594711,0.172293275594711,2,0,2033,4,27.1366539001465,0.25,0.178813523232065,0
"29",29,1,5,"2023-12-04 18:00:00",720,0.167525306344032,0.167525306344032,2,0,2035,4,27.1421070098877,0.25,0.173755829627644,0
"30",30,1,6,"2023-12-04 18:00:00",720,0.133764877915382,0.133764877915382,2,0,2207,3,27.149377822876,0.25,0.138386539266104,0
"31",31,1,7,"2023-12-04 18:00:00",720,0.15345673263073,0.15345673263073,2,0,2110,3,27.1548290252686,0.25,0.158927379269071,0
"32",32,1,8,"2023-12-04 18:00:00",720,0.126150444149971,0.126150444149971,2,0,2241,4,27.1620998382568,0.25,0.130501963718689,NA
"33",33,1,1,"2023-12-04 18:15:00",680,0.225489139556885,0.225489139556885,2,0,1786,4,30.8153114318848,0.5,0.205774167579197,NA
"34",34,1,2,"2023-12-04 18:15:00",680,0.184685677289963,0.184685677289963,2,0,1971,3,30.8171291351318,0.5,0.168734815955079,NA
"35",35,1,3,"2023-12-04 18:15:00",680,0.234577834606171,0.234577834606171,2,0,1759,4,30.8189487457275,0.5,0.214088785866074,NA
"36",36,1,4,"2023-12-04 18:15:00",680,0.187590569257736,0.187590569257736,2,0,1941,3,30.8225841522217,0.5,0.171358156414293,NA
"37",37,1,5,"2023-12-04 18:15:00",680,0.282751649618149,0.282751649618149,2,0,1568,3,30.8244037628174,0.5,0.25864015214352,NA
"38",38,1,6,"2023-12-04 18:15:00",680,0.189306080341339,0.189306080341339,2,0,1945,3,30.8262214660645,0.5,0.172908246599403,NA
"39",39,1,7,"2023-12-04 18:15:00",680,0.264307200908661,0.264307200908661,2,0,1631,3,30.8280391693115,0.5,0.241481086297701,NA
"40",40,1,8,"2023-12-04 18:15:00",680,0.19525770843029,0.19525770843029,2,0,1910,4,30.8280391693115,0.5,0.178291110345518,NA
"41",41,1,1,"2023-12-04 18:15:00",720,0.176887154579163,0.176887154579163,2,0,2003,4,30.8171291351318,0.5,0.183702807650955,0
"42",42,1,2,"2023-12-04 18:15:00",720,0.166726633906364,0.166726633906364,2,0,2050,3,30.8189487457275,0.5,0.172910270226035,0
"43",43,1,3,"2023-12-04 18:15:00",720,0.198996931314468,0.198996931314468,2,0,1911,3,30.8225841522217,0.5,0.207471759269484,0
"44",44,1,4,"2023-12-04 18:15:00",720,0.174654170870781,0.174654170870781,2,0,2022,4,30.8225841522217,0.5,0.181324210679288,0
"45",45,1,5,"2023-12-04 18:15:00",720,0.171391442418098,0.171391442418098,2,0,2016,3,30.8244037628174,0.5,0.177855587657687,0
"46",46,1,6,"2023-12-04 18:15:00",720,0.136929154396057,0.136929154396057,2,0,2191,3,30.8262214660645,0.5,0.141671974235427,0
"47",47,1,7,"2023-12-04 18:15:00",720,0.155315786600113,0.155315786600113,2,0,2101,3,30.8280391693115,0.5,0.160879046254442,0
"48",48,1,8,"2023-12-04 18:15:00",720,0.130050718784332,0.130050718784332,2,0,2221,4,30.8298587799072,0.5,0.134536953010531,NA
"49",49,1,1,"2023-12-04 18:30:00",680,0.229652106761932,0.229652106761932,2,0,1766,1,30.5463199615479,0.75,0.209579334498103,NA
"50",50,1,2,"2023-12-04 18:30:00",680,0.185127258300781,0.185127258300781,2,0,1967,1,30.5463199615479,0.75,0.169133482774504,NA
"51",51,1,3,"2023-12-04 18:30:00",680,0.240056425333023,0.240056425333023,2,0,1734,1,30.5463199615479,0.75,0.219113662833782,NA
"52",52,1,4,"2023-12-04 18:30:00",680,0.18871246278286,0.18871246278286,2,0,1934,1,30.5463199615479,0.75,0.172371796702435,NA
"53",53,1,5,"2023-12-04 18:30:00",680,0.28469854593277,0.28469854593277,2,0,1559,1,30.5463199615479,0.75,0.260459237973438,NA
"54",54,1,6,"2023-12-04 18:30:00",680,0.191323474049568,0.191323474049568,2,0,1934,1,30.5463199615479,0.75,0.174731942999462,NA
"55",55,1,7,"2023-12-04 18:30:00",680,0.271570235490799,0.271570235490799,2,0,1602,1,30.5481376647949,0.75,0.248222131245016,NA
"56",56,1,8,"2023-12-04 18:30:00",680,0.196626991033554,0.196626991033554,2,0,1901,1,30.5481376647949,0.75,0.179530706533998,NA
"57",57,1,1,"2023-12-04 18:30:00",720,0.176018998026848,0.176018998026848,2,0,2004,1,30.5463199615479,0.75,0.182777580263207,0
"58",58,1,2,"2023-12-04 18:30:00",720,0.165032655000687,0.165032655000687,2,0,2056,1,30.5463199615479,0.75,0.17111838037647,0
"59",59,1,3,"2023-12-04 18:30:00",720,0.198996931314468,0.198996931314468,2,0,1909,1,30.5463199615479,0.75,0.207471759269484,0
"60",60,1,4,"2023-12-04 18:30:00",720,0.174008995294571,0.174008995294571,2,0,2022,1,30.5463199615479,0.75,0.180637678231732,0
"61",61,1,5,"2023-12-04 18:30:00",720,0.170098915696144,0.170098915696144,2,0,2020,1,30.5463199615479,0.75,0.176483719482404,0
"62",62,1,6,"2023-12-04 18:30:00",720,0.136334076523781,0.136334076523781,2,0,2192,1,30.5463199615479,0.75,0.141053693707291,0
"63",63,1,7,"2023-12-04 18:30:00",720,0.156974986195564,0.156974986195564,2,0,2091,1,30.5481376647949,0.75,0.162622852458795,0
"64",64,1,8,"2023-12-04 18:30:00",720,0.129659116268158,0.129659116268158,2,0,2220,1,30.5481376647949,0.75,0.134131484731447,NA
"65",65,1,1,"2023-12-04 18:45:00",680,0.233110696077347,0.233110696077347,2,0,1752,1,30.1337394714355,1,0.212744820816165,NA
"66",66,1,2,"2023-12-04 18:45:00",680,0.186011761426926,0.186011761426926,2,0,1963,1,30.1337394714355,1,0.169932150006093,NA
"67",67,1,3,"2023-12-04 18:45:00",680,0.242821827530861,0.242821827530861,2,0,1723,1,30.1337394714355,1,0.221653854004958,NA
"68",68,1,4,"2023-12-04 18:45:00",680,0.186471521854401,0.186471521854401,2,0,1944,1,30.1337394714355,1,0.170347358605811,NA
"69",69,1,5,"2023-12-04 18:45:00",680,0.288618683815002,0.288618683815002,2,0,1545,1,30.1337394714355,1,0.264126717182191,NA
"70",70,1,6,"2023-12-04 18:45:00",680,0.192223086953163,0.192223086953163,2,0,1930,1,30.1337394714355,1,0.175545476747407,NA
"71",71,1,7,"2023-12-04 18:45:00",680,0.272928714752197,0.272928714752197,2,0,1597,1,30.1337394714355,1,0.249485232249308,NA
"72",72,1,8,"2023-12-04 18:45:00",680,0.197771355509758,0.197771355509758,2,0,1896,1,30.1337394714355,1,0.180567032952272,NA
"73",73,1,1,"2023-12-04 18:45:00",720,0.176235869526863,0.176235869526863,2,0,2003,1,30.1337394714355,1,0.183008653658244,0
"74",74,1,2,"2023-12-04 18:45:00",720,0.165455505251884,0.165455505251884,2,0,2054,1,30.1337394714355,1,0.171565476531218,0
"75",75,1,3,"2023-12-04 18:45:00",720,0.198087394237518,0.198087394237518,2,0,1913,1,30.1337394714355,1,0.206485853695705,0
"76",76,1,4,"2023-12-04 18:45:00",720,0.173364788293839,0.173364788293839,2,0,2025,1,30.1337394714355,1,0.179952494036726,0
"77",77,1,5,"2023-12-04 18:45:00",720,0.170529320836067,0.170529320836067,2,0,2018,1,30.1337394714355,1,0.176940406048799,0
"78",78,1,6,"2023-12-04 18:45:00",720,0.136334076523781,0.136334076523781,2,0,2192,1,30.1337394714355,1,0.141053693707291,0
"79",79,1,7,"2023-12-04 18:45:00",720,0.156974986195564,0.156974986195564,2,0,2091,1,30.1337394714355,1,0.162622852458795,0
"80",80,1,8,"2023-12-04 18:45:00",720,0.128486409783363,0.128486409783363,2,0,2226,1,30.1337394714355,1,0.132917714591902,NA
"81",81,1,1,"2023-12-04 19:00:00",680,0.237598270177841,0.237598270177841,2,0,1734,1,29.8502159118652,1.25,0.216857853557714,NA
"82",82,1,2,"2023-12-04 19:00:00",680,0.188230931758881,0.188230931758881,2,0,1953,1,29.8502159118652,1.25,0.171936695771078,NA
"83",83,1,3,"2023-12-04 19:00:00",680,0.245858862996101,0.245858862996101,2,0,1711,1,29.8520317077637,1.25,0.224446560905141,NA
"84",84,1,4,"2023-12-04 19:00:00",680,0.190739259123802,0.190739259123802,2,0,1925,1,29.8520317077637,1.25,0.174203726818421,NA
"85",85,1,5,"2023-12-04 19:00:00",680,0.294281005859375,0.294281005859375,2,0,1525,1,29.8538475036621,1.25,0.269435306747541,NA
"86",86,1,6,"2023-12-04 19:00:00",680,0.192899063229561,0.192899063229561,2,0,1927,1,29.8556632995605,1.25,0.176156894333709,NA
"87",87,1,7,"2023-12-04 19:00:00",680,0.276755094528198,0.276755094528198,2,0,1583,1,29.857479095459,1.25,0.253046844871119,NA
"88",88,1,8,"2023-12-04 19:00:00",680,0.198229983448982,0.198229983448982,2,0,1894,1,29.857479095459,1.25,0.180982451788551,NA
"89",89,1,1,"2023-12-04 19:00:00",720,0.180815473198891,0.180815473198891,2,0,1982,1,29.8502159118652,1.25,0.187896741924632,0
"90",90,1,2,"2023-12-04 19:00:00",720,0.167151153087616,0.167151153087616,2,0,2046,1,29.8520317077637,1.25,0.173359653221566,0
"91",91,1,3,"2023-12-04 19:00:00",720,0.199908375740051,0.199908375740051,2,0,1905,1,29.8520317077637,1.25,0.208460457254442,0
"92",92,1,4,"2023-12-04 19:00:00",720,0.175300255417824,0.175300255417824,2,0,2016,1,29.8520317077637,1.25,0.182012030619382,0
"93",93,1,5,"2023-12-04 19:00:00",720,0.173554286360741,0.173554286360741,2,0,2004,1,29.8538475036621,1.25,0.180154012966048,0
"94",94,1,6,"2023-12-04 19:00:00",720,0.136929154396057,0.136929154396057,2,0,2189,1,29.8556632995605,1.25,0.141671974235427,0
"95",95,1,7,"2023-12-04 19:00:00",720,0.156559571623802,0.156559571623802,2,0,2093,1,29.857479095459,1.25,0.162186080817976,0
"96",96,1,8,"2023-12-04 19:00:00",720,0.129072353243828,0.129072353243828,2,0,2223,1,29.8592948913574,1.25,0.133524089884399,NA
"97",97,1,1,"2023-12-04 19:15:00",680,0.240363657474518,0.240363657474518,2,0,1726,4,30.4081859588623,1.5,0.219395746871235,NA
"98",98,1,2,"2023-12-04 19:15:00",680,0.18800850212574,0.18800850212574,2,0,1956,3,30.410005569458,1.5,0.171735730287835,NA
"99",99,1,3,"2023-12-04 19:15:00",680,0.250198006629944,0.250198006629944,2,0,1695,2,30.4118232727051,1.5,0.228442173895775,NA
"100",100,1,4,"2023-12-04 19:15:00",680,0.19006259739399,0.19006259739399,2,0,1930,3,30.4136409759521,1.5,0.173592021072495,NA
"101",101,1,5,"2023-12-04 19:15:00",680,0.298001527786255,0.298001527786255,2,0,1514,3,30.4154605865479,1.5,0.272930721668495,NA
"102",102,1,6,"2023-12-04 19:15:00",680,0.193576037883759,0.193576037883759,2,0,1926,3,30.4172782897949,1.5,0.176769320688844,NA
"103",103,1,7,"2023-12-04 19:15:00",680,0.281169831752777,0.281169831752777,2,0,1569,3,30.4172782897949,1.5,0.257163306905829,NA
"104",104,1,8,"2023-12-04 19:15:00",680,0.199378594756126,0.199378594756126,2,0,1892,4,30.4172782897949,1.5,0.182023074690657,NA
"105",105,1,1,"2023-12-04 19:15:00",720,0.180158272385597,0.180158272385597,2,0,1988,4,30.410005569458,1.5,0.187194255699204,0
"106",106,1,2,"2023-12-04 19:15:00",720,0.166726633906364,0.166726633906364,2,0,2050,3,30.4118232727051,1.5,0.172910270226035,0
"107",107,1,3,"2023-12-04 19:15:00",720,0.201966106891632,0.201966106891632,2,0,1898,3,30.4118232727051,1.5,0.21069528498729,0
"108",108,1,4,"2023-12-04 19:15:00",720,0.174008995294571,0.174008995294571,2,0,2024,3,30.4136409759521,1.5,0.180637678231732,0
"109",109,1,5,"2023-12-04 19:15:00",720,0.17529234290123,0.17529234290123,2,0,1998,3,30.4154605865479,1.5,0.182003605031142,0
"110",110,1,6,"2023-12-04 19:15:00",720,0.137127682566643,0.137127682566643,2,0,2190,3,30.4172782897949,1.5,0.141878286838183,0
"111",111,1,7,"2023-12-04 19:15:00",720,0.159057915210724,0.159057915210724,2,0,2083,3,30.4172782897949,1.5,0.164814638986729,0
"112",112,1,8,"2023-12-04 19:15:00",720,0.129463449120522,0.129463449120522,2,0,2225,5,30.4172782897949,1.5,0.133928918358017,NA
"113",113,1,1,"2023-12-04 19:30:00",680,0.243146792054176,0.243146792054176,2,0,1715,4,30.2318992614746,1.75,0.221952524181459,NA
"114",114,1,2,"2023-12-04 19:30:00",680,0.19790481030941,0.19790481030941,2,0,1912,3,30.2318992614746,1.75,0.180687909160497,NA
"115",115,1,3,"2023-12-04 19:30:00",680,0.249173104763031,0.249173104763031,2,0,1700,3,30.2318992614746,1.75,0.227497818128129,NA
"116",116,1,4,"2023-12-04 19:30:00",680,0.260895669460297,0.260895669460297,2,0,1639,2,30.2318992614746,1.75,0.238321637667856,NA
"117",117,1,5,"2023-12-04 19:30:00",680,0.302044212818146,0.302044212818146,2,0,1499,2,30.2318992614746,1.75,0.276735480371185,NA
"118",118,1,6,"2023-12-04 19:30:00",680,0.211558967828751,0.211558967828751,2,0,1847,2,30.2318992614746,1.75,0.193079159400899,NA
"119",119,1,7,"2023-12-04 19:30:00",680,0.286471277475357,0.286471277475357,2,0,1549,2,30.2318992614746,1.75,0.262116934494877,NA
"120",120,1,8,"2023-12-04 19:30:00",680,0.198229983448982,0.198229983448982,2,0,1895,2,30.2318992614746,1.75,0.180982451788551,NA
"121",121,1,1,"2023-12-04 19:30:00",720,0.179502069950104,0.179502069950104,2,0,1991,4,30.2318992614746,1.75,0.186493178480543,0
"122",122,1,2,"2023-12-04 19:30:00",720,0.174000680446625,0.174000680446625,2,0,2016,3,30.2318992614746,1.75,0.180628832467932,0
"123",123,1,3,"2023-12-04 19:30:00",720,0.199452415108681,0.199452415108681,2,0,1909,3,30.2318992614746,1.75,0.20796575873635,0
"124",124,1,4,"2023-12-04 19:30:00",720,0.250918328762054,0.250918328762054,2,0,1695,2,30.2318992614746,1.75,0.265038716335865,0
"125",125,1,5,"2023-12-04 19:30:00",720,0.176163971424103,0.176163971424103,2,0,1993,2,30.2318992614746,1.75,0.182932043249047,0
"126",126,1,6,"2023-12-04 19:30:00",720,0.15146079659462,0.15146079659462,2,0,2118,2,30.2318992614746,1.75,0.156834541103033,0
"127",127,1,7,"2023-12-04 19:30:00",720,0.16241155564785,0.16241155564785,2,0,2066,2,30.2318992614746,1.75,0.168349848153494,0
"128",128,1,8,"2023-12-04 19:30:00",720,0.127122238278389,0.127122238278389,2,0,2234,2,30.2318992614746,1.75,0.131506628608416,NA
"129",129,1,1,"2023-12-04 19:45:00",680,0.246203437447548,0.246203437447548,2,0,1703,4,29.9592704772949,2,0.22476361521291,NA
"130",130,1,2,"2023-12-04 19:45:00",680,0.248006448149681,0.248006448149681,2,0,1705,4,29.9592704772949,2,0.226423297844095,NA
"131",131,1,3,"2023-12-04 19:45:00",680,0.251482516527176,0.251482516527176,2,0,1691,3,29.9592704772949,2,0.229626260224752,NA
"132",132,1,4,"2023-12-04 19:45:00",680,0.187366515398026,0.187366515398026,2,0,1942,3,29.9592704772949,2,0.171155754572869,NA
"133",133,1,5,"2023-12-04 19:45:00",680,0.304955035448074,0.304955035448074,2,0,1491,4,29.9592704772949,2,0.279479341124753,NA
"134",134,1,6,"2023-12-04 19:45:00",680,0.188859060406685,0.188859060406685,2,0,1947,3,29.9592704772949,2,0.172504269200746,NA
"135",135,1,7,"2023-12-04 19:45:00",680,0.288722991943359,0.288722991943359,2,0,1542,3,29.9592704772949,2,0.264224388712333,NA
"136",136,1,8,"2023-12-04 19:45:00",680,0.19708439707756,0.19708439707756,2,0,1902,4,29.9592704772949,2,0.179944891374472,NA
"137",137,1,1,"2023-12-04 19:45:00",720,0.179939419031143,0.179939419031143,2,0,1989,4,29.9592704772949,2,0.186960398031889,0
"138",138,1,2,"2023-12-04 19:45:00",720,0.224022001028061,0.224022001028061,2,0,1797,3,29.9592704772949,2,0.23489164551647,0
"139",139,1,3,"2023-12-04 19:45:00",720,0.200136497616768,0.200136497616768,2,0,1906,3,29.9592704772949,2,0.208708028522016,0
"140",140,1,4,"2023-12-04 19:45:00",720,0.170797556638718,0.170797556638718,2,0,2040,4,29.9592704772949,2,0.177225090939355,0
"141",141,1,5,"2023-12-04 19:45:00",720,0.175510063767433,0.175510063767433,2,0,1998,4,29.9592704772949,2,0.182235461192873,0
"142",142,1,6,"2023-12-04 19:45:00",720,0.131210774183273,0.131210774183273,2,0,2220,3,29.9592704772949,2,0.135738540087036,0
"143",143,1,7,"2023-12-04 19:45:00",720,0.161570742726326,0.161570742726326,2,0,2071,3,29.9592704772949,2,0.167462774036359,0
"144",144,1,8,"2023-12-04 19:45:00",720,0.126733228564262,0.126733228564262,2,0,2238,4,29.9592704772949,2,0.131104406329217,NA
"145",145,1,1,"2023-12-04 20:00:00",680,0.249796897172928,0.249796897172928,2,0,1689,4,29.9047355651855,2.25,0.228072543112035,NA
"146",146,1,2,"2023-12-04 20:00:00",680,0.26280888915062,0.26280888915062,2,0,1648,4,29.9065532684326,2.25,0.240092950424882,NA
"147",147,1,3,"2023-12-04 20:00:00",680,0.254840165376663,0.254840165376663,2,0,1679,4,29.9083728790283,2.25,0.2327241895271,NA
"148",148,1,4,"2023-12-04 20:00:00",680,0.187142625451088,0.187142625451088,2,0,1943,3,29.9101905822754,2.25,0.170953511609337,NA
"149",149,1,5,"2023-12-04 20:00:00",680,0.306124836206436,0.306124836206436,2,0,1486,3,29.9120082855225,2.25,0.280583077561993,NA
"150",150,1,6,"2023-12-04 20:00:00",680,0.188859060406685,0.188859060406685,2,0,1947,3,29.9138278961182,2.25,0.172504269200746,NA
"151",151,1,7,"2023-12-04 20:00:00",680,0.29297661781311,0.29297661781311,2,0,1528,4,29.9138278961182,2.25,0.268211220117229,NA
"152",152,1,8,"2023-12-04 20:00:00",680,0.196626991033554,0.196626991033554,2,0,1904,4,29.9156455993652,2.25,0.179530706533998,NA
"153",153,1,1,"2023-12-04 20:00:00",720,0.18345420062542,0.18345420062542,2,0,1973,4,29.9065532684326,2.25,0.190720770146489,0
"154",154,1,2,"2023-12-04 20:00:00",720,0.239296585321426,0.239296585321426,2,0,1735,3,29.9083728790283,2.25,0.251922116880242,0
"155",155,1,3,"2023-12-04 20:00:00",720,0.201050326228142,0.201050326228142,2,0,1902,3,29.9101905822754,2.25,0.209700227681486,0
"156",156,1,4,"2023-12-04 20:00:00",720,0.170797556638718,0.170797556638718,2,0,2039,3,29.9101905822754,2.25,0.177225090939355,0
"157",157,1,5,"2023-12-04 20:00:00",720,0.176382139325142,0.176382139325142,2,0,1993,3,29.9120082855225,2.25,0.183164522562813,0
"158",158,1,6,"2023-12-04 20:00:00",720,0.13179886341095,0.13179886341095,2,0,2217,3,29.9138278961182,2.25,0.136347947341004,0
"159",159,1,7,"2023-12-04 20:00:00",720,0.164309427142143,0.164309427142143,2,0,2059,4,29.9156455993652,2.25,0.170353981557629,0
"160",160,1,8,"2023-12-04 20:00:00",720,0.126344621181488,0.126344621181488,2,0,2240,4,29.9156455993652,2.25,0.130702672609874,NA
"161",161,1,1,"2023-12-04 20:15:00",680,0.25970321893692,0.25970321893692,2,0,1652,5,30.3173160552979,2.5,0.237218321866847,NA
"162",162,1,2,"2023-12-04 20:15:00",680,0.183583676815033,0.183583676815033,2,0,1977,4,30.3191337585449,2.5,0.167740087350807,NA
"163",163,1,3,"2023-12-04 20:15:00",680,0.259532421827316,0.259532421827316,2,0,1661,4,30.3191337585449,2.5,0.237060334790107,NA
"164",164,1,4,"2023-12-04 20:15:00",680,0.188263341784477,0.188263341784477,2,0,1939,4,30.3191337585449,2.5,0.171965979173628,NA
"165",165,1,5,"2023-12-04 20:15:00",680,0.311724931001663,0.311724931001663,2,0,1468,4,30.3191337585449,2.5,0.285875199576241,NA
"166",166,1,6,"2023-12-04 20:15:00",680,0.190425723791122,0.190425723791122,2,0,1941,4,30.3191337585449,2.5,0.173920276481367,NA
"167",167,1,7,"2023-12-04 20:15:00",680,0.290419429540634,0.290419429540634,2,0,1537,4,30.3191337585449,2.5,0.265813521986033,NA
"168",168,1,8,"2023-12-04 20:15:00",680,0.196855634450912,0.196855634450912,2,0,1904,5,30.3191337585449,2.5,0.179737738667831,NA
"169",169,1,1,"2023-12-04 20:15:00",720,0.187888070940971,0.187888070940971,2,0,1953,4,30.3191337585449,2.5,0.195478713026646,0
"170",170,1,2,"2023-12-04 20:15:00",720,0.158530175685883,0.158530175685883,2,0,2090,4,30.3191337585449,2.5,0.164259038066494,0
"171",171,1,3,"2023-12-04 20:15:00",720,0.201736986637115,0.201736986637115,2,0,1900,4,30.3191337585449,2.5,0.2104462608878,0
"172",172,1,4,"2023-12-04 20:15:00",720,0.171651601791382,0.171651601791382,2,0,2036,4,30.3191337585449,2.5,0.178131868424289,0
"173",173,1,5,"2023-12-04 20:15:00",720,0.17769356071949,0.17769356071949,2,0,1988,4,30.3191337585449,2.5,0.184562750664242,0
"174",174,1,6,"2023-12-04 20:15:00",720,0.132977411150932,0.132977411150932,2,0,2212,4,30.3191337585449,2.5,0.137569758254744,0
"175",175,1,7,"2023-12-04 20:15:00",720,0.157390773296356,0.157390773296356,2,0,2092,4,30.3191337585449,2.5,0.16306013287714,0
"176",176,1,8,"2023-12-04 20:15:00",720,0.126344621181488,0.126344621181488,2,0,2241,5,30.3191337585449,2.5,0.130702672609874,NA
"177",177,1,1,"2023-12-04 20:30:00",680,0.261817872524261,0.261817872524261,2,0,1640,1,30.0792198181152,2.75,0.239175268846965,NA
"178",178,1,2,"2023-12-04 20:30:00",680,0.18314366042614,0.18314366042614,2,0,1976,1,30.0792198181152,2.75,0.167342972992058,NA
"179",179,1,3,"2023-12-04 20:30:00",680,0.263217389583588,0.263217389583588,2,0,1644,1,30.0810375213623,2.75,0.240471328865706,NA
"180",180,1,4,"2023-12-04 20:30:00",680,0.188039004802704,0.188039004802704,2,0,1937,1,30.082857131958,2.75,0.171763288862137,NA
"181",181,1,5,"2023-12-04 20:30:00",680,0.314701586961746,0.314701586961746,2,0,1455,1,30.0846748352051,2.75,0.288693792043106,NA
"182",182,1,6,"2023-12-04 20:30:00",680,0.190649941563606,0.190649941563606,2,0,1937,1,30.0864925384521,2.75,0.174122977393857,NA
"183",183,1,7,"2023-12-04 20:30:00",680,0.293832361698151,0.293832361698151,2,0,1522,1,30.0883121490479,2.75,0.269014201742888,NA
"184",184,1,8,"2023-12-04 20:30:00",680,0.19548562169075,0.19548562169075,2,0,1906,1,30.0901298522949,2.75,0.178497406627282,NA
"185",185,1,1,"2023-12-04 20:30:00",720,0.188333958387375,0.188333958387375,2,0,1948,1,30.0792198181152,2.75,0.195958084340926,0
"186",186,1,2,"2023-12-04 20:30:00",720,0.157906055450439,0.157906055450439,2,0,2090,1,30.0810375213623,2.75,0.1636022146993,0
"187",187,1,3,"2023-12-04 20:30:00",720,0.202883765101433,0.202883765101433,2,0,1892,1,30.082857131958,2.75,0.21169312717405,0
"188",188,1,4,"2023-12-04 20:30:00",720,0.169945150613785,0.169945150613785,2,0,2041,1,30.082857131958,2.75,0.176320598703477,0
"189",189,1,5,"2023-12-04 20:30:00",720,0.180328324437141,0.180328324437141,2,0,1973,1,30.0846748352051,2.75,0.187375992535163,0
"190",190,1,6,"2023-12-04 20:30:00",720,0.132387727499008,0.132387727499008,2,0,2212,1,30.0864925384521,2.75,0.136958337211685,0
"191",191,1,7,"2023-12-04 20:30:00",720,0.159057915210724,0.159057915210724,2,0,2081,1,30.0883121490479,2.75,0.164814638986729,0
"192",192,1,8,"2023-12-04 20:30:00",720,0.125180825591087,0.125180825591087,2,0,2243,1,30.0901298522949,2.75,0.129499995710572,NA
